e,soft,hard
0.625,0.2265414930356789,0.3409216764610167
1.25,0.2555132590727835,0.3609755736407429
2.5,0.3459915542460024,0.43585219114549595
5,0.5212068225793093,0.5089182733807058
10,0.7184167027750336,0.6657672255979928
20,1.3351948810903047,1.4095906063991324
40,1.719026398874114,1.7941182115729244
80,2.079954511450079,2.079417230090077
160,2.4205142331829843,2.354934396384863
